"id","observed_on","lon","lat","species_guess","place_guess","taxon.id","taxon.name","taxon.rank","taxon.ancestry","taxon.common_name.id","taxon.common_name.name","taxon.common_name.is_valid","taxon.common_name.lexicon","iconic_taxon.id","iconic_taxon.name","iconic_taxon.rank","iconic_taxon.rank_level"
148080925,"2023-01-27","-122.3529666667","49.0537","American Water Frogs","Fraser Valley, British Columbia, Canada",60340,"Lithobates","genus","48460/1/2/355675/20978/20979/25473",311792,"American Water Frogs",TRUE,"English",20978,"Amphibia","class",50
147767056,"2018-05-27","-80.9807204828","48.9279488219","Western Painted Turtle","Tunis, ON P0N 1J0, Canada",39773,"Chrysemys picta bellii","subspecies","48460/1/2/355675/26036/39532/39760/797544/39770/39771",151488,"Western Painted Turtle",TRUE,"English",26036,"Reptilia","class",50
147667731,"2012-07-25","-76.3326125009","44.5529631471","Eastern Musk Turtle","Ontario, CA",39703,"Sternotherus odoratus","species","48460/1/2/355675/26036/39532/39699/797558/39702",190351,"Eastern Musk Turtle",TRUE,"English",26036,"Reptilia","class",50
147667725,"2013-10-05","-76.4043378847","44.7149783432","Eastern Musk Turtle","Ontario, CA",39703,"Sternotherus odoratus","species","48460/1/2/355675/26036/39532/39699/797558/39702",190351,"Eastern Musk Turtle",TRUE,"English",26036,"Reptilia","class",50
146653865,"2015-06-12","-89.783384692","48.082922014","Western Painted Turtle","Thunder Bay District, ON, Canada",39773,"Chrysemys picta bellii","subspecies","48460/1/2/355675/26036/39532/39760/797544/39770/39771",151488,"Western Painted Turtle",TRUE,"English",26036,"Reptilia","class",50
146443155,"2007-08-07","-81.3795254418","45.0764676243","Massasauga","Bruce, CA-ON, CA",520469,"Sistrurus catenatus","species","48460/1/2/355675/26036/26172/85553/30667/797576/30979",893262,"Massasauga",TRUE,"English",26036,"Reptilia","class",50
146442705,"2008-07-31","-81.5911325682","45.1900357368","ring-necked snake","Bruce County, ON, Canada",26575,"Diadophis punctatus","species","48460/1/2/355675/26036/26172/85553/26504/797518/26574",100258,"ring-necked snake",TRUE,"English",26036,"Reptilia","class",50
145269743,"2022-12-27","-83.1095540198","42.0525564079","Common Garter Snake","Amherstburg, ON, Canada",28362,"Thamnophis sirtalis","species","48460/1/2/355675/26036/26172/85553/26504/532896/28339",77867,"Common Garter Snake",TRUE,"English",26036,"Reptilia","class",50
144941189,"2022-10-11","-90.4681861111","48.8912361111","Common Garter Snake","Thunder Bay, Ontario, Canada",28362,"Thamnophis sirtalis","species","48460/1/2/355675/26036/26172/85553/26504/532896/28339",77867,"Common Garter Snake",TRUE,"English",26036,"Reptilia","class",50
144357212,"2022-10-23","-76.1070185969","45.0312434319","Northern Redbelly Snake","Beckwith, Smiths Falls, ON, CA",28559,"Storeria occipitomaculata occipitomaculata","subspecies","48460/1/2/355675/26036/26172/85553/26504/532896/28555/28557",99026,"Northern Redbelly Snake",TRUE,"English",26036,"Reptilia","class",50
143773648,"2020-03-29","-78.215355","44.48005","Wood Frog","Birchview Rd, Douro-Dummer, ON, CA",66012,"Lithobates sylvaticus","species","48460/1/2/355675/20978/20979/25473/60340",30333,"Wood Frog",TRUE,"English",20978,"Amphibia","class",50
143766311,"2022-10-06","-75.5763003697","45.4346362962","Northern Redbelly Snake","Blackburn Hamlet, Ottawa, ON, Canada",28559,"Storeria occipitomaculata occipitomaculata","subspecies","48460/1/2/355675/26036/26172/85553/26504/532896/28555/28557",99026,"Northern Redbelly Snake",TRUE,"English",26036,"Reptilia","class",50
143766308,"2022-10-06","-75.5764052086","45.4346583356","Northern Redbelly Snake","Greenbelt, Ottawa, ON, Canada",28559,"Storeria occipitomaculata occipitomaculata","subspecies","48460/1/2/355675/26036/26172/85553/26504/532896/28555/28557",99026,"Northern Redbelly Snake",TRUE,"English",26036,"Reptilia","class",50
143286598,"2022-05-28","-79.1399198734","44.6218479992","Midland Painted Turtle","Ontario, CA",39772,"Chrysemys picta marginata","subspecies","48460/1/2/355675/26036/39532/39760/797544/39770/39771",151468,"Midland Painted Turtle",TRUE,"English",26036,"Reptilia","class",50
143029513,"2022-11-09","-75.7238783333","44.9486383333","Red-bellied Snake","Craig Rd, North Grenville, ON, CA",28557,"Storeria occipitomaculata","species","48460/1/2/355675/26036/26172/85553/26504/532896/28555",136926,"Red-bellied Snake",TRUE,"English",26036,"Reptilia","class",50
143029326,"2022-11-10","-75.7233310102","44.9490150661","Red-bellied Snake","Craig Rd, North Grenville, ON, CA",28557,"Storeria occipitomaculata","species","48460/1/2/355675/26036/26172/85553/26504/532896/28555",136926,"Red-bellied Snake",TRUE,"English",26036,"Reptilia","class",50
142866239,"2022-11-25","-123.5311773419","48.4734556292","Rough-skinned Newt","Victoria, BC V9B 0C9, Canada",27826,"Taricha granulosa","species","48460/1/2/355675/20978/26718/27701/787591/27816",34308,"Rough-skinned Newt",TRUE,"English",20978,"Amphibia","class",50
